hex,dec,message
69,105,"SEM_OWNER_DIED: The previous ownership of this semaphore has ended"
6A,106,SEM_USER_LIMIT
6B,107,"DISK_CHANGE: The program stopped because an alternate diskette was not inserted"
6C,108,"DRIVE_LOCKED: The disk is in use or locked by another process"
6D,109,"BROKEN_PIPE: The pipe has been ended"
6E,110,"OPEN_FAILED: The system cannot open the device or file specified"
6F,111,"BUFFER_OVERFLOW: The file name is too long"
70,112,"DISK_FULL: There is not enough space on the disk"
71,113,"NO_MORE_SEARCH_HANDLES: No more internal file identifiers available"
72,114,"INVALID_TARGET_HANDLE: The target internal file identifier is incorrect"
73,115,PROTECTION_VIOLATION
74,116,VIOKBD_REQUEST
75,117,"INVALID_CATEGORY: The IOCTL call made by the application program is not correct"
76,118,"INVALID_VERIFY_SWITCH: The verify-on-write switch parameter value is not correct"
77,119,"BAD_DRIVER_LEVEL: The system does not support the command requested"
78,120,"CALL_NOT_IMPLEMENTED: This function is not supported on this system"
79,121,"SEM_TIMEOUT: The semaphore timeout period has expired"
7A,122,"INSUFFICIENT_BUFFER: The data area passed to a system call is too small"
7B,123,"INVALID_NAME: The filename, directory name, or volume label syntax is incorrect"
7C,124,"INVALID_LEVEL: The system call level is not correct"
7D,125,"NO_VOLUME_LABEL: The disk has no volume label"
7E,126,"MOD_NOT_FOUND: The specified module could not be found"
7F,127,"PROC_NOT_FOUND: The specified procedure could not be found"
80,128,"WAIT_NO_CHILDREN: There are no child processes to wait for"
81,129,CHILD_NOT_COMPLETE
82,130,"DIRECT_ACCESS_HANDLE: Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O"
83,131,"NEGATIVE_SEEK: An attempt was made to move the file pointer before the beginning of the file"
84,132,"SEEK_ON_DEVICE: The file pointer cannot be set on the specified device or file"
85,133,"IS_JOIN_TARGET: A JOIN or SUBST command cannot be used for a drive that contains previously joined drives"
86,134,"IS_JOINED: An attempt was made to use a JOIN or SUBST command on a drive that has already been joined"
87,135,"IS_SUBSTED: An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted"
88,136,"NOT_JOINED: The system tried to delete the JOIN of a drive that is not joined"
89,137,"NOT_SUBSTED: The system tried to delete the substitution of a drive that is not substituted"
8A,138,"JOIN_TO_JOIN: The system tried to join a drive to a directory on a joined drive"
8B,139,"SUBST_TO_SUBST: The system tried to substitute a drive to a directory on a substituted drive"
8C,140,"JOIN_TO_SUBST: The system tried to join a drive to a directory on a substituted drive"
8D,141,"SUBST_TO_JOIN: The system tried to SUBST a drive to a directory on a joined drive"
8E,142,"BUSY_DRIVE: The system cannot perform a JOIN or SUBST at this time"
8F,143,"SAME_DRIVE: The system cannot join or substitute a drive to or for a directory on the same drive"
90,144,"DIR_NOT_ROOT: The directory is not a subdirectory of the root directory"
91,145,"DIR_NOT_EMPTY: The directory is not empty"
92,146,"IS_SUBST_PATH: The path specified is being used in a substitute"
93,147,"IS_JOIN_PATH: Not enough resources are available to process this command"
94,148,"PATH_BUSY: The path specified cannot be used at this time"
95,149,"IS_SUBST_TARGET: An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute"
96,150,"SYSTEM_TRACE: System trace information was not specified in your CONFIG.SYS file, or tracing is disallowed"
97,151,"INVALID_EVENT_COUNT: The number of specified semaphore events for DosMuxSemWait is not correct"
98,152,"TOO_MANY_MUXWAITERS: DosMuxSemWait did not execute; too many semaphores are already set"
99,153,"INVALID_LIST_FORMAT: The DosMuxSemWait list is not correct"
9A,154,"LABEL_TOO_LONG: The volume label you entered exceeds the label character limit of the target file system"
9B,155,"TOO_MANY_TCBS: Cannot create another thread"
9C,156,"SIGNAL_REFUSED: The recipient process has refused the signal"
9D,157,"DISCARDED: The segment is already discarded and cannot be locked"
9E,158,"NOT_LOCKED: The segment is already unlocked"
9F,159,"BAD_THREADID_ADDR: The address for the thread ID is not correct"
A0,160,"BAD_ARGUMENTS: One or more arguments are not correct"
A1,161,"BAD_PATHNAME: The specified path is invalid"
A2,162,"SIGNAL_PENDING: A signal is already pending"
A3,163,UNCERTAIN_MEDIA
A4,164,"MAX_THRDS_REACHED: No more threads can be created in the system"
A5,165,MONITORS_NOT_SUPPORTED
A6,166,UNC_DRIVER_NOT_INSTALLED
A7,167,"LOCK_FAILED: Unable to lock a region of a file"
A8,168,SWAPIO_FAILED
A9,169,SWAPIN_FAILED
AA,170,"BUSY: The requested resource is in use"
AD,173,"CANCEL_VIOLATION: A lock request was not outstanding for the supplied cancel region"
AE,174,"ATOMIC_LOCKS_NOT_SUPPORTED: The file system does not support atomic changes to the lock type"
B4,180,"INVALID_SEGMENT_NUMBER: The system detected a segment number that was not correct"
B5,181,INVALID_CALLGATE
B6,182,INVALID_ORDINAL
B7,183,"ALREADY_EXISTS: Cannot create a file when that file already exists"
B8,184,NO_CHILD_PROCESS
B9,185,CHILD_ALIVE_NOWAIT
BA,186,"INVALID_FLAG_NUMBER: The flag passed is not correct"
BB,187,"SEM_NOT_FOUND: The specified system semaphore name was not found"
BC,188,INVALID_STARTING_CODESEG
BD,189,INVALID_STACKSEG
BE,190,INVALID_MODULETYPE
BF,191,INVALID_EXE_SIGNATURE
C0,192,EXE_MARKED_INVALID
C1,193,BAD_EXE_FORMAT
C2,194,ITERATED_DATA_EXCEEDS_64K
C3,195,INVALID_MINALLOCSIZE
C4,196,"DYNLINK_FROM_INVALID_RING: The operating system cannot run this application program"
C5,197,"IOPL_NOT_ENABLED: The operating system is not presently configured to run this application"
C6,198,INVALID_SEGDPL
C7,199,"AUTODATASEG_EXCEEDS_64k: The operating system cannot run this application program"
C8,200,"RING2SEG_MUST_BE_MOVABLE: The code segment cannot be greater than or equal to 64K"
C9,201,RELOC_CHAIN_XEEDS_SEGLIM
CA,202,INFLOOP_IN_RELOC_CHAIN
CB,203,"ENVVAR_NOT_FOUND: The system could not find the environment option that was entered"
CC,204,NOT_CURRENT_CTRY
CD,205,"NO_SIGNAL_SENT: No process in the command subtree has a signal handler"
CE,206,"FILENAME_EXCED_RANGE: The filename or extension is too long"
CF,207,"RING2_STACK_IN_USE: The ring 2 stack is in use"
D0,208,"META_EXPANSION_TOO_LONG: The global filename characters, * or ?, are entered incorrectly or too many global filename characters are specified"
D1,209,"INVALID_SIGNAL_NUMBER: The signal being posted is not correct"
D2,210,"THREAD_1_INACTIVE: The signal handler cannot be set"
D3,211,INFO_NOT_AVAIL
D4,212,"LOCKED: The segment is locked and cannot be reallocated"
D5,213,BAD_DYNALINK
D6,214,"TOO_MANY_MODULES: Too many dynamic-link modules are attached to this program or dynamic-link module"
D7,215,"NESTING_NOT_ALLOWED: Cannot nest calls to LoadModule"
D8,216,CANNOT_SHRINK
D9,217,ZOMBIE_PROCESS
DA,218,STACK_IN_HIGH_MEMORY
DB,219,INVALID_EXITROUTINE_RING
DC,220,GETBUF_FAILED
DD,221,FLUSHBUF_FAILED
DE,222,TRANSFER_TOO_LONG
E4,228,NO_CHILDREN
E5,229,INVALID_SCREEN_GROUP
E6,230,"BAD_PIPE: The pipe state is invalid"
E7,231,"PIPE_BUSY: All pipe instances are busy"
E8,232,"NO_DATA: The pipe is being closed"
E9,233,"PIPE_NOT_CONNECTED: No process is on the other end of the pipe"
EA,234,"MORE_DATA: More data is available"
F0,240,"VC_DISCONNECTED: The session was canceled"
FA,250,CIRCULARITY_REQUESTED
FB,251,DIRECTORY_IN_CDS
FC,252,INVALID_FSD_NAME
FD,253,INVALID_PATH
FE,254,"INVALID_EA_NAME: The specified extended attribute name was invalid"
FF,255,"EA_LIST_INCONSISTENT: The extended attributes are inconsistent"
100,256,EA_LIST_TOO_LONG
101,257,NO_META_MATCH
102,258,"FINDNOTIFY_TIMEOUT: The wait operation timed out"
103,259,"NO_MORE_ITEMS: No more data is available"
104,260,SEARCH_STRUC_REUSED
105,261,CHAR_NOT_FOUND
106,262,TOO_MUCH_STACK
107,263,INVALID_ATTR
108,264,INVALID_STARTING_RING
109,265,INVALID_DLL_INIT_RING
10A,266,"CANNOT_COPY: The copy functions cannot be used"
10B,267,"DIRECTORY: The directory name is invalid"
10C,268,OPLOCKED_FILE
10D,269,OPLOCK_THREAD_EXISTS
10E,270,VOLUME_CHANGED
10F,271,FINDNOTIFY_HANDLE_IN_USE
110,272,FINDNOTIFY_HANDLE_CLOSED
111,273,NOTIFY_OBJECT_REMOVED
112,274,ALREADY_SHUTDOWN
113,275,"EAS_DIDNT_FIT: The extended attributes did not fit in the buffer"
114,276,"EA_FILE_CORRUPT: The extended attribute file on the mounted file system is corrupt"
115,277,"EA_TABLE_FULL: The extended attribute table file is full"
116,278,"INVALID_EA_HANDLE: The specified extended attribute handle is invalid"
117,279,NO_CLUSTER
118,280,CREATE_EA_FILE
119,281,CANNOT_OPEN_EA_FILE
11A,282,"EAS_NOT_SUPPORTED: The mounted file system does not support extended attributes"
120,288,"NOT_OWNER: Attempt to release mutex not owned by caller"
12A,298,"TOO_MANY_POSTS: Too many posts were made to a semaphore"
12B,299,"PARTIAL_COPY: Only part of a ReadProcessMemory or WriteProcessMemory request was completed"
12C,300,"The oplock request is denied"
12D,301,"An invalid oplock acknowledgment was received by the system"
12E,302,"The volume is too fragmented to complete this operation"
12F,303,"INVALID_PROCID: The file cannot be opened because it is in the process of being deleted"
130,304,INVALID_PDELTA
131,305,NOT_DESCENDANT
132,306,NOT_SESSION_MANAGER
133,307,INVALID_PCLASS
134,308,INVALID_SCOPE
135,309,INVALID_THREADID
136,310,DOSSUB_SHRINK
137,311,DOSSUB_NOMEM
138,312,DOSSUB_OVERLAP
139,313,DOSSUB_BADSIZE
13A,314,DOSSUB_BADFLAG
13B,315,DOSSUB_BADSELECTOR
13C,316,MR_MSG_TOO_LONG
13D,317,MR_MID_NOT_FOUND
13E,318,MR_UN_ACC_MSGF
13F,319,MR_INV_MSGF_FORMAT
140,320,MR_INV_IVCOUNT
141,321,MR_UN_PERFORM
142,322,TS_WAKEUP
143,323,TS_SEMHANDLE
144,324,TS_NOTIMER
146,326,TS_HANDLE
147,327,TS_DATETIME
148,328,SYS_INTERNAL
149,329,QUE_CURRENT_NAME
14A,330,QUE_PROC_NOT_OWNED
14B,331,QUE_PROC_OWNED
14C,332,QUE_DUPLICATE
14D,333,QUE_ELEMENT_NOT_EXIST
14E,334,QUE_NO_MEMORY
14F,335,QUE_INVALID_NAME
150,336,QUE_INVALID_PRIORITY
151,337,QUE_INVALID_HANDLE
152,338,QUE_LINK_NOT_FOUND
153,339,QUE_MEMORY_ERROR
154,340,QUE_PREV_AT_END
155,341,QUE_PROC_NO_ACCESS
156,342,QUE_EMPTY
157,343,QUE_NAME_NOT_EXIST
158,344,QUE_NOT_INITIALIZED
159,345,QUE_UNABLE_TO_ACCESS
15A,346,QUE_UNABLE_TO_ADD
15B,347,QUE_UNABLE_TO_INIT
15D,349,VIO_INVALID_MASK
15E,350,VIO_PTR
15F,351,VIO_APTR
160,352,VIO_RPTR
161,353,VIO_CPTR
162,354,VIO_LPTR
163,355,VIO_MODE
164,356,VIO_WIDTH
165,357,VIO_ATTR
166,358,VIO_ROW
167,359,VIO_COL
168,360,VIO_TOPROW
169,361,VIO_BOTROW
16A,362,VIO_RIGHTCOL
16B,363,VIO_LEFTCOL
16C,364,SCS_CALL
16D,365,SCS_VALUE
16E,366,VIO_WAIT_FLAG
16F,367,VIO_UNLOCK
170,368,SGS_NOT_SESSION_MGR
171,369,SMG_INVALID_SESSION_ID
172,370,"SMG_NO_SESSIONS (???): SMG_NO_SESSIONS"
173,371,SMG_SESSION_NOT_FOUND
174,372,SMG_SET_TITLE
175,373,KBD_PARAMETER
176,374,KBD_NO_DEVICE
177,375,KBD_INVALID_IOWAIT
178,376,KBD_INVALID_LENGTH
179,377,KBD_INVALID_ECHO_MASK
17A,378,KBD_INVALID_INPUT_MASK
17B,379,MON_INVALID_PARMS
17C,380,MON_INVALID_DEVNAME
17D,381,MON_INVALID_HANDLE
17E,382,MON_BUFFER_TOO_SMALL
17F,383,MON_BUFFER_EMPTY
180,384,MON_DATA_TOO_LARGE
181,385,MOUSE_NO_DEVICE
182,386,MOUSE_INV_HANDLE
183,387,MOUSE_INV_PARMS
184,388,MOUSE_CANT_RESET
185,389,MOUSE_DISPLAY_PARMS
186,390,MOUSE_INV_MODULE
187,391,MOUSE_INV_ENTRY_PT
188,392,MOUSE_INV_MASK
189,393,"NO_MOUSE_NO_DATA: MOUSE_NO_DATA"
18A,394,"NO_MOUSE_PTR_DRAWN: MOUSE_PTR_DRAWN"
18B,395,INVALID_FREQUENCY
18C,396,NLS_NO_COUNTRY_FILE
18D,397,NLS_OPEN_FAILED
18E,398,NO_COUNTRY_OR_CODEPAGE
18F,399,NLS_TABLE_TRUNCATED
190,400,NLS_BAD_TYPE
191,401,NLS_TYPE_NOT_FOUND
192,402,VIO_SMG_ONLY
193,403,VIO_INVALID_ASCIIZ
194,404,VIO_DEREGISTER
195,405,VIO_NO_POPUP
196,406,VIO_EXISTING_POPUP
197,407,KBD_SMG_ONLY
198,408,KBD_INVALID_ASCIIZ
199,409,KBD_INVALID_MASK
19A,410,KBD_REGISTER
19B,411,KBD_DEREGISTER
19C,412,MOUSE_SMG_ONLY
19D,413,MOUSE_INVALID_ASCIIZ
19E,414,MOUSE_INVALID_MASK
19F,415,MOUSE_REGISTER
1A0,416,MOUSE_DEREGISTER
1A1,417,SMG_BAD_ACTION
1A2,418,SMG_INVALID_CALL
1A3,419,SCS_SG_NOTFOUND
1A4,420,SCS_NOT_SHELL
1A5,421,VIO_INVALID_PARMS
1A6,422,VIO_FUNCTION_OWNED
1A7,423,VIO_RETURN
1A8,424,SCS_INVALID_FUNCTION
1A9,425,SCS_NOT_SESSION_MGR
1AA,426,VIO_REGISTER
1AB,427,VIO_NO_MODE_THREAD
1AC,428,VIO_NO_SAVE_RESTORE_THD
1AD,429,VIO_IN_BG
1AE,430,VIO_ILLEGAL_DURING_POPUP
1AF,431,SMG_NOT_BASESHELL
1B0,432,SMG_BAD_STATUSREQ
1B1,433,QUE_INVALID_WAIT
1B2,434,VIO_LOCK
1B3,435,MOUSE_INVALID_IOWAIT
1B4,436,VIO_INVALID_HANDLE
1B5,437,VIO_ILLEGAL_DURING_LOCK
1B6,438,VIO_INVALID_LENGTH
1B7,439,KBD_INVALID_HANDLE
1B8,440,KBD_NO_MORE_HANDLE
1B9,441,KBD_CANNOT_CREATE_KCB
1BA,442,KBD_CODEPAGE_LOAD_INCOMPL
1BB,443,KBD_INVALID_CODEPAGE_ID
1BC,444,KBD_NO_CODEPAGE_SUPPORT
1BD,445,KBD_FOCUS_REQUIRED
1BE,446,KBD_FOCUS_ALREADY_ACTIVE
1BF,447,KBD_KEYBOARD_BUSY
1C0,448,KBD_INVALID_CODEPAGE
1C1,449,KBD_UNABLE_TO_FOCUS
1C2,450,SMG_SESSION_NON_SELECT
1C3,451,SMG_SESSION_NOT_FOREGRND
1C4,452,SMG_SESSION_NOT_PARENT
1C5,453,SMG_INVALID_START_MODE
1C6,454,SMG_INVALID_RELATED_OPT
1C7,455,SMG_INVALID_BOND_OPTION
1C8,456,SMG_INVALID_SELECT_OPT
1C9,457,SMG_START_IN_BACKGROUND
1CA,458,SMG_INVALID_STOP_OPTION
1CB,459,SMG_BAD_RESERVE
1CC,460,SMG_PROCESS_NOT_PARENT
1CD,461,SMG_INVALID_DATA_LENGTH
1CE,462,SMG_NOT_BOUND
1CF,463,SMG_RETRY_SUB_ALLOC
1D0,464,KBD_DETACHED
1D1,465,VIO_DETACHED
1D2,466,MOU_DETACHED
1D3,467,VIO_FONT
1D4,468,VIO_USER_FONT
1D5,469,VIO_BAD_CP
1D6,470,VIO_NO_CP
1D7,471,VIO_NA_CP
1D8,472,INVALID_CODE_PAGE
1D9,473,CPLIST_TOO_SMALL
1DA,474,CP_NOT_MOVED
1DB,475,MODE_SWITCH_INIT
1DC,476,CODE_PAGE_NOT_FOUND
1DD,477,UNEXPECTED_SLOT_RETURNED
1DE,478,SMG_INVALID_TRACE_OPTION
1DF,479,VIO_INTERNAL_RESOURCE
1E0,480,VIO_SHELL_INIT
1E1,481,SMG_NO_HARD_ERRORS
1E2,482,CP_SWITCH_INCOMPLETE
1E3,483,VIO_TRANSPARENT_POPUP
1E4,484,CRITSEC_OVERFLOW
1E5,485,CRITSEC_UNDERFLOW
1E6,486,VIO_BAD_RESERVE
1E7,487,"INVALID_ADDRESS: Attempt to access invalid address"
1E8,488,ZERO_SELECTORS_REQUESTED
1E9,489,NOT_ENOUGH_SELECTORS_AVA
1EA,490,INVALID_SELECTOR
1EB,491,SMG_INVALID_PROGRAM_TYPE
1EC,492,SMG_INVALID_PGM_CONTROL
1ED,493,SMG_INVALID_INHERIT_OPT
1EE,494,VIO_EXTENDED_SG
1EF,495,VIO_NOT_PRES_MGR_SG
1F0,496,VIO_SHIELD_OWNED
1F1,497,VIO_NO_MORE_HANDLES
1F2,498,"VIO_SEE_LOG: VIO_SEE_ERROR_LOG"
1F3,499,VIO_ASSOCIATED_DC
1F4,500,KBD_NO_CONSOLE
1F5,501,MOUSE_NO_CONSOLE
1F6,502,MOUSE_INVALID_HANDLE
1F7,503,SMG_INVALID_DEBUG_PARMS
1F8,504,KBD_EXTENDED_SG
1F9,505,MOU_EXTENDED_SG
1FA,506,SMG_INVALID_ICON_FILE
216,534,"ARITHMETIC_OVERFLOW: Arithmetic result exceeded 32 bits"
217,535,"PIPE_CONNECTED: There is a process on other end of the pipe"
218,536,"PIPE_LISTENING: Waiting for a process to open the other end of the pipe"
258,600,PENDING
259,601,INVALID_PORT_HANDLE
25A,602,PORT_ALREADY_OPEN
25B,603,BUFFER_TOO_SMALL
25C,604,WRONG_INFO_SPECIFIED
25D,605,CANNOT_SET_PORT_INFO
25E,606,PORT_NOT_CONNECTED
25F,607,EVENT_INVALID
260,608,DEVICE_DOES_NOT_EXIST
261,609,DEVICETYPE_DOES_NOT_EXIST
262,610,BUFFER_INVALID
263,611,ROUTE_NOT_AVAILABLE
264,612,ROUTE_NOT_ALLOCATED
265,613,INVALID_COMPRESSION_SPECIFIED
266,614,OUT_OF_BUFFERS
267,615,PORT_NOT_FOUND
268,616,ASYNC_REQUEST_PENDING
269,617,ALREADY_DISCONNECTING
26A,618,PORT_NOT_OPEN
26B,619,PORT_DISCONNECTED
26C,620,NO_ENDPOINTS
26D,621,CANNOT_OPEN_PHONEBOOK
26E,622,CANNOT_LOAD_PHONEBOOK
26F,623,CANNOT_FIND_PHONEBOOK_ENTRY
270,624,CANNOT_WRITE_PHONEBOOK
271,625,CORRUPT_PHONEBOOK
272,626,CANNOT_LOAD_STRING
273,627,KEY_NOT_FOUND
274,628,DISCONNECTION
275,629,REMOTE_DISCONNECTION
276,630,HARDWARE_FAILURE
277,631,USER_DISCONNECTION
278,632,INVALID_SIZE
279,633,PORT_NOT_AVAILABLE
27A,634,CANNOT_PROJECT_CLIENT
27B,635,UNKNOWN
27C,636,WRONG_DEVICE_ATTACHED
27D,637,BAD_STRING
27E,638,REQUEST_TIMEOUT
27F,639,CANNOT_GET_LANA
280,640,NETBIOS_ERROR
281,641,SERVER_OUT_OF_RESOURCES
282,642,NAME_EXISTS_ON_NET
283,643,SERVER_GENERAL_NET_FAILURE
284,644,WARNING_MSG_ALIAS_NOT_ADDED
285,645,AUTH_INTERNAL
286,646,RESTRICTED_LOGON_HOURS
287,647,ACCT_DISABLED
288,648,PASSWD_EXPIRED
289,649,NO_DIALIN_PERMISSION
28A,650,SERVER_NOT_RESPONDING
28B,651,FROM_DEVICE
28C,652,UNRECOGNIZED_RESPONSE
28D,653,MACRO_NOT_FOUND
28E,654,MACRO_NOT_DEFINED
28F,655,MESSAGE_MACRO_NOT_FOUND
290,656,DEFAULTOFF_MACRO_NOT_FOUND
291,657,FILE_COULD_NOT_BE_OPENED
292,658,DEVICENAME_TOO_LONG
293,659,DEVICENAME_NOT_FOUND
294,660,NO_RESPONSES
295,661,NO_COMMAND_FOUND
296,662,WRONG_KEY_SPECIFIED
297,663,UNKNOWN_DEVICE_TYPE
298,664,ALLOCATING_MEMORY
299,665,PORT_NOT_CONFIGURED
29A,666,DEVICE_NOT_READY
29B,667,READING_INI_FILE
29C,668,NO_CONNECTION
29D,669,BAD_USAGE_IN_INI_FILE
29E,670,READING_SECTIONNAME
29F,671,READING_DEVICETYPE
2A0,672,READING_DEVICENAME
2A1,673,READING_USAGE
2A2,674,READING_MAXCONNECTBPS
2A3,675,READING_MAXCARRIERBPS
2A4,676,LINE_BUSY
2A5,677,VOICE_ANSWER
2A6,678,NO_ANSWER
2A7,679,NO_CARRIER
2A8,680,NO_DIALTONE
2A9,681,IN_COMMAND
2AA,682,WRITING_SECTIONNAME
2AB,683,WRITING_DEVICETYPE
2AC,684,WRITING_DEVICENAME
2AD,685,WRITING_MAXCONNECTBPS
2AE,686,WRITING_MAXCARRIERBPS
2AF,687,WRITING_USAGE
2B0,688,WRITING_DEFAULTOFF
2B1,689,READING_DEFAULTOFF
2B2,690,EMPTY_INI_FILE
2B3,691,AUTHENTICATION_FAILURE
2B4,692,PORT_OR_DEVICE
2B5,693,NOT_BINARY_MACRO
2B6,694,DCB_NOT_FOUND
2B7,695,STATE_MACHINES_NOT_STARTED
2B8,696,STATE_MACHINES_ALREADY_STARTED
2B9,697,PARTIAL_RESPONSE_LOOPING
2BA,698,UNKNOWN_RESPONSE_KEY
2BB,699,RECV_BUF_FULL
2BC,700,CMD_TOO_LONG
2BD,701,UNSUPPORTED_BPS
2BE,702,UNEXPECTED_RESPONSE
2BF,703,INTERACTIVE_MODE
2C0,704,BAD_CALLBACK_NUMBER
2C1,705,INVALID_AUTH_STATE
2C2,706,WRITING_INITBPS
2C3,707,X25_DIAGNOSTIC
2C4,708,ACCT_EXPIRED
2C5,709,CHANGING_PASSWORD
2C6,710,OVERRUN
2C7,711,RASMAN_CANNOT_INITIALIZE
2C8,712,BIPLEX_PORT_NOT_AVAILABLE
2C9,713,NO_ACTIVE_ISDN_LINES
2CA,714,NO_ISDN_CHANNELS_AVAILABLE
2CB,715,TOO_MANY_LINE_ERRORS
2CC,716,IP_CONFIGURATION
2CD,717,NO_IP_ADDRESSES
2CE,718,PPP_TIMEOUT
2CF,719,PPP_REMOTE_TERMINATED
2D0,720,PPP_NO_PROTOCOLS_CONFIGURED
2D1,721,PPP_NO_RESPONSE
2D2,722,PPP_INVALID_PACKET
2D3,723,PHONE_NUMBER_TOO_LONG
2D4,724,IPXCP_NO_DIALOUT_CONFIGURED
2D5,725,IPXCP_NO_DIALIN_CONFIGURED
2D6,726,IPXCP_DIALOUT_ALREADY_ACTIVE
2D7,727,ACCESSING_TCPCFGDLL
2D8,728,NO_IP_RAS_ADAPTER
2D9,729,SLIP_REQUIRES_IP
2DA,730,PROJECTION_NOT_COMPLETE
2DB,731,PROTOCOL_NOT_CONFIGURED
2DC,732,PPP_NOT_CONVERGING
